,End_Date,Gas_Diff,Start_Date
0,2018-08-30 00:09:36,0,2018-08-29 11:28:07
1,2018-08-31 00:05:48,0,2018-08-30 00:09:36
2,2018-09-13 11:16:12,7364,2018-08-31 00:05:48
3,2018-09-14 00:00:07,0,2018-09-13 11:16:12
4,2018-09-15 00:00:04,3364,2018-09-14 00:00:07
5,2018-09-16 00:00:10,0,2018-09-15 00:00:04
6,2018-09-17 00:03:29,1770,2018-09-16 00:00:10
7,2018-09-18 00:00:04,0,2018-09-17 00:03:29
8,2018-09-19 00:00:07,0,2018-09-18 00:00:04
9,2018-09-20 00:00:03,1883,2018-09-19 00:00:07
10,2018-09-21 00:00:09,708,2018-09-20 00:00:03
11,2018-09-22 00:00:07,759,2018-09-21 00:00:09
12,2018-09-23 00:00:07,0,2018-09-22 00:00:07
13,2018-09-24 00:00:03,1350,2018-09-23 00:00:07
14,2018-09-25 00:00:19,0,2018-09-24 00:00:03
15,2018-09-26 00:00:15,0,2018-09-25 00:00:19
16,2018-09-27 00:00:06,1834,2018-09-26 00:00:15
17,2018-09-28 00:00:04,2782,2018-09-27 00:00:06
18,2018-09-29 00:00:03,0,2018-09-28 00:00:04
19,2018-09-30 00:00:04,0,2018-09-29 00:00:03
20,2018-10-01 00:00:03,0,2018-09-30 00:00:04
21,2018-10-02 00:00:03,0,2018-10-01 00:00:03
22,2018-10-19 11:14:31,0,2018-10-02 00:00:03
23,2018-10-20 00:02:14,0,2018-10-19 11:14:31
24,2018-10-21 00:00:03,0,2018-10-20 00:02:14
25,2018-10-22 00:00:03,0,2018-10-21 00:00:03
26,2018-10-23 00:00:03,0,2018-10-22 00:00:03
27,2018-10-24 00:00:05,0,2018-10-23 00:00:03
28,2018-10-25 00:00:06,0,2018-10-24 00:00:05
29,2018-10-26 00:00:06,0,2018-10-25 00:00:06
30,2018-10-27 00:00:03,419,2018-10-26 00:00:06
31,2018-10-28 00:00:15,3077,2018-10-27 00:00:03
32,2018-10-29 00:00:03,588,2018-10-28 00:00:15
33,2018-10-30 00:00:04,0,2018-10-29 00:00:03
34,2018-10-31 00:00:03,0,2018-10-30 00:00:04
35,2018-11-01 00:00:07,0,2018-10-31 00:00:03
36,2018-11-02 00:00:04,0,2018-11-01 00:00:07
37,2018-11-03 00:00:05,0,2018-11-02 00:00:04
38,2018-11-04 00:00:11,0,2018-11-03 00:00:05
39,2018-11-05 00:00:09,0,2018-11-04 00:00:11
40,2018-11-06 00:00:07,0,2018-11-05 00:00:09
41,2018-11-07 00:00:07,0,2018-11-06 00:00:07
42,2018-11-08 00:00:03,0,2018-11-07 00:00:07
43,2018-11-09 00:23:49,0,2018-11-08 00:00:03
44,2018-11-10 00:00:03,0,2018-11-09 00:23:49
45,2018-11-11 00:00:03,0,2018-11-10 00:00:03
46,2018-11-12 00:00:06,0,2018-11-11 00:00:03
47,2018-11-13 00:00:08,0,2018-11-12 00:00:06
48,2018-11-14 00:00:15,0,2018-11-13 00:00:08
49,2018-11-15 00:00:03,337,2018-11-14 00:00:15
50,2018-11-16 00:00:03,0,2018-11-15 00:00:03
51,2018-11-17 00:00:03,0,2018-11-16 00:00:03
52,2018-11-18 00:00:07,0,2018-11-17 00:00:03
53,2018-11-19 00:00:03,0,2018-11-18 00:00:07
54,2018-11-20 00:00:04,1949,2018-11-19 00:00:03
55,2018-11-21 00:00:03,137,2018-11-20 00:00:04
56,2018-11-22 00:00:03,3092,2018-11-21 00:00:03
57,2018-11-23 00:00:03,3542,2018-11-22 00:00:03
58,2018-11-24 00:00:04,5450,2018-11-23 00:00:03
59,2018-11-25 00:00:04,6503,2018-11-24 00:00:04
60,2018-11-26 00:00:04,6024,2018-11-25 00:00:04
61,2018-11-27 00:00:03,0,2018-11-26 00:00:04
62,2018-11-28 00:00:03,0,2018-11-27 00:00:03
63,2018-11-29 00:00:04,6542,2018-11-28 00:00:03
