,End_Date,Gas_Diff,Start_Date
0,2018-08-29 12:22:20,0,2018-08-29 11:28:07
1,2018-08-29 13:12:17,0,2018-08-29 12:22:20
2,2018-08-29 14:23:48,0,2018-08-29 13:12:17
3,2018-08-29 15:00:03,0,2018-08-29 14:23:48
4,2018-08-29 17:01:09,0,2018-08-29 15:00:03
5,2018-08-29 18:00:10,0,2018-08-29 17:01:09
6,2018-08-29 19:00:05,0,2018-08-29 18:00:10
7,2018-08-29 20:00:04,0,2018-08-29 19:00:05
8,2018-08-29 21:00:11,0,2018-08-29 20:00:04
9,2018-08-29 22:00:10,0,2018-08-29 21:00:11
10,2018-08-30 00:09:36,0,2018-08-29 22:00:10
11,2018-08-30 01:00:06,0,2018-08-30 00:09:36
12,2018-08-30 02:00:09,0,2018-08-30 01:00:06
13,2018-08-30 03:00:07,0,2018-08-30 02:00:09
14,2018-08-30 04:00:03,0,2018-08-30 03:00:07
15,2018-08-30 05:00:03,0,2018-08-30 04:00:03
16,2018-08-30 06:00:10,0,2018-08-30 05:00:03
17,2018-08-30 07:00:09,0,2018-08-30 06:00:10
18,2018-08-30 08:00:03,0,2018-08-30 07:00:09
19,2018-08-30 09:00:03,0,2018-08-30 08:00:03
20,2018-08-30 10:00:03,0,2018-08-30 09:00:03
21,2018-08-30 11:00:10,0,2018-08-30 10:00:03
22,2018-08-30 12:00:09,0,2018-08-30 11:00:10
23,2018-08-30 13:00:11,0,2018-08-30 12:00:09
24,2018-08-30 14:00:09,0,2018-08-30 13:00:11
25,2018-08-30 15:00:10,0,2018-08-30 14:00:09
26,2018-08-30 16:18:46,0,2018-08-30 15:00:10
27,2018-08-30 17:00:10,0,2018-08-30 16:18:46
28,2018-08-30 18:00:05,0,2018-08-30 17:00:10
29,2018-08-30 19:00:03,0,2018-08-30 18:00:05
30,2018-08-30 20:00:03,0,2018-08-30 19:00:03
31,2018-08-30 21:00:06,0,2018-08-30 20:00:03
32,2018-08-30 22:00:04,0,2018-08-30 21:00:06
33,2018-08-30 23:00:14,0,2018-08-30 22:00:04
