,End_Date,Gas_Diff,Start_Date
0,2018-09-21 01:00:00,0.0,2018-09-21 00:00:00
1,2018-09-21 02:00:00,0.0,2018-09-21 01:00:00
2,2018-09-21 03:00:00,0.0,2018-09-21 02:00:00
3,2018-09-21 04:00:00,0.0,2018-09-21 03:00:00
4,2018-09-21 05:00:00,0.0,2018-09-21 04:00:00
5,2018-09-21 06:00:00,5.698800000012852,2018-09-21 05:00:00
6,2018-09-21 07:00:00,10.039899999974295,2018-09-21 06:00:00
7,2018-09-21 08:00:00,1.566400000010617,2018-09-21 07:00:00
8,2018-09-21 09:00:00,1.6455000000423752,2018-09-21 08:00:00
9,2018-09-21 10:00:00,4.247399999992922,2018-09-21 09:00:00
10,2018-09-21 11:00:00,5.7493999999715015,2018-09-21 10:00:00
11,2018-09-21 12:00:00,11.414900000032503,2018-09-21 11:00:00
12,2018-09-21 13:00:00,13.788499999966007,2018-09-21 12:00:00
13,2018-09-21 14:00:00,4.557900000014342,2018-09-21 13:00:00
14,2018-09-21 15:00:00,0.0,2018-09-21 14:00:00
15,2018-09-21 16:00:00,2.50189999997383,2018-09-21 15:00:00
16,2018-09-21 17:00:00,3.0384000000194646,2018-09-21 16:00:00
17,2018-09-21 18:00:00,5.454800000006799,2018-09-21 17:00:00
18,2018-09-21 19:00:00,7.402400000020862,2018-09-21 18:00:00
19,2018-09-21 20:00:00,9.24989999999525,2018-09-21 19:00:00
20,2018-09-21 21:00:00,0.6962000000057742,2018-09-21 20:00:00
21,2018-09-21 22:00:00,0.2831999999471009,2018-09-21 21:00:00
22,2018-09-21 23:00:00,0.0,2018-09-21 22:00:00
23,2018-09-22 00:00:00,0.0,2018-09-21 23:00:00
24,2018-09-22 01:00:00,0.0,2018-09-22 00:00:00
25,2018-09-22 02:00:00,0.0,2018-09-22 01:00:00
26,2018-09-22 03:00:00,0.0,2018-09-22 02:00:00
27,2018-09-22 04:00:00,0.0,2018-09-22 03:00:00
28,2018-09-22 05:00:00,0.0,2018-09-22 04:00:00
29,2018-09-22 06:00:00,5.424900000041816,2018-09-22 05:00:00
30,2018-09-22 07:00:00,6.483799999987241,2018-09-22 06:00:00
31,2018-09-22 08:00:00,7.662300000025425,2018-09-22 07:00:00
32,2018-09-22 09:00:00,5.755699999979697,2018-09-22 08:00:00
33,2018-09-22 10:00:00,9.596000000019558,2018-09-22 09:00:00
34,2018-09-22 11:00:00,11.600299999990966,2018-09-22 10:00:00
35,2018-09-22 12:00:00,9.236700000008568,2018-09-22 11:00:00
36,2018-09-22 13:00:00,12.93630000000121,2018-09-22 12:00:00
37,2018-09-22 14:00:00,5.93939999997383,2018-09-22 13:00:00
38,2018-09-22 15:00:00,0.055500000016763806,2018-09-22 14:00:00
39,2018-09-22 16:00:00,3.2179999999934807,2018-09-22 15:00:00
40,2018-09-22 17:00:00,13.305999999982305,2018-09-22 16:00:00
41,2018-09-22 18:00:00,11.28269999998156,2018-09-22 17:00:00
42,2018-09-22 19:00:00,7.540000000037253,2018-09-22 18:00:00
43,2018-09-22 20:00:00,10.568299999984447,2018-09-22 19:00:00
44,2018-09-22 21:00:00,3.3746999999857508,2018-09-22 20:00:00
45,2018-09-22 22:00:00,0.0,2018-09-22 21:00:00
46,2018-09-22 23:00:00,0.0,2018-09-22 22:00:00
47,2018-09-23 00:00:00,0.0,2018-09-22 23:00:00
48,2018-09-23 01:00:00,0.0,2018-09-23 00:00:00
49,2018-09-23 02:00:00,0.0,2018-09-23 01:00:00
50,2018-09-23 03:00:00,0.0,2018-09-23 02:00:00
51,2018-09-23 04:00:00,0.0,2018-09-23 03:00:00
52,2018-09-23 05:00:00,0.0,2018-09-23 04:00:00
53,2018-09-23 06:00:00,0.0,2018-09-23 05:00:00
54,2018-09-23 07:00:00,1.4205000000074506,2018-09-23 06:00:00
55,2018-09-23 08:00:00,4.026100000017323,2018-09-23 07:00:00
56,2018-09-23 09:00:00,5.300700000021607,2018-09-23 08:00:00
57,2018-09-23 10:00:00,12.985499999951571,2018-09-23 09:00:00
58,2018-09-23 11:00:00,15.07839999999851,2018-09-23 10:00:00
59,2018-09-23 12:00:00,15.302500000048894,2018-09-23 11:00:00
60,2018-09-23 13:00:00,17.040399999998044,2018-09-23 12:00:00
61,2018-09-23 14:00:00,8.176500000001397,2018-09-23 13:00:00
62,2018-09-23 15:00:00,1.2233999999589287,2018-09-23 14:00:00
63,2018-09-23 16:00:00,2.7141999999876134,2018-09-23 15:00:00
64,2018-09-23 17:00:00,4.4631000000517815,2018-09-23 16:00:00
65,2018-09-23 18:00:00,10.043199999956414,2018-09-23 17:00:00
66,2018-09-23 19:00:00,5.92170000000624,2018-09-23 18:00:00
67,2018-09-23 20:00:00,18.06260000000475,2018-09-23 19:00:00
68,2018-09-23 21:00:00,10.723600000026636,2018-09-23 20:00:00
69,2018-09-23 22:00:00,0.7817999999970198,2018-09-23 21:00:00
70,2018-09-23 23:00:00,0.0774000000092201,2018-09-23 22:00:00
71,2018-09-24 00:00:00,0.11599999997997656,2018-09-23 23:00:00
72,2018-09-24 01:00:00,0.033500000019557774,2018-09-24 00:00:00
73,2018-09-24 02:00:00,0.07369999994989485,2018-09-24 01:00:00
74,2018-09-24 03:00:00,0.07450000004610047,2018-09-24 02:00:00
75,2018-09-24 04:00:00,0.07490000000689179,2018-09-24 03:00:00
76,2018-09-24 05:00:00,0.07399999996414408,2018-09-24 04:00:00
77,2018-09-24 06:00:00,3.4187999999849126,2018-09-24 05:00:00
78,2018-09-24 07:00:00,10.099500000011176,2018-09-24 06:00:00
79,2018-09-24 08:00:00,4.508800000010524,2018-09-24 07:00:00
80,2018-09-24 09:00:00,4.925500000012107,2018-09-24 08:00:00
81,2018-09-24 10:00:00,9.067199999990407,2018-09-24 09:00:00
82,2018-09-24 11:00:00,8.78139999997802,2018-09-24 10:00:00
83,2018-09-24 12:00:00,14.199599999992643,2018-09-24 11:00:00
84,2018-09-24 13:00:00,14.330800000054296,2018-09-24 12:00:00
85,2018-09-24 14:00:00,5.483499999972992,2018-09-24 13:00:00
86,2018-09-24 15:00:00,0.07880000001750886,2018-09-24 14:00:00
87,2018-09-24 16:00:00,1.707300000009127,2018-09-24 15:00:00
88,2018-09-24 17:00:00,2.040099999983795,2018-09-24 16:00:00
89,2018-09-24 18:00:00,3.6511000000173226,2018-09-24 17:00:00
90,2018-09-24 19:00:00,3.5020999999833293,2018-09-24 18:00:00
91,2018-09-24 20:00:00,0.0799000000115484,2018-09-24 19:00:00
92,2018-09-24 21:00:00,0.08049999998183921,2018-09-24 20:00:00
93,2018-09-24 22:00:00,0.08000000001629815,2018-09-24 21:00:00
94,2018-09-24 23:00:00,0.07869999995455146,2018-09-24 22:00:00
95,2018-09-25 00:00:00,0.12110000004759058,2018-09-24 23:00:00
96,2018-09-25 01:00:00,0.03479999996488914,2018-09-25 00:00:00
97,2018-09-25 02:00:00,0.07890000002225861,2018-09-25 01:00:00
98,2018-09-25 03:00:00,0.07919999997830018,2018-09-25 02:00:00
99,2018-09-25 04:00:00,0.0791000000317581,2018-09-25 03:00:00
100,2018-09-25 05:00:00,0.08049999998183921,2018-09-25 04:00:00
101,2018-09-25 06:00:00,0.08030000003054738,2018-09-25 05:00:00
102,2018-09-25 07:00:00,0.08009999996284023,2018-09-25 06:00:00
103,2018-09-25 08:00:00,1.0969000000040978,2018-09-25 07:00:00
104,2018-09-25 09:00:00,1.4786000000312924,2018-09-25 08:00:00
105,2018-09-25 10:00:00,14.372799999953713,2018-09-25 09:00:00
106,2018-09-25 11:00:00,18.118200000026263,2018-09-25 10:00:00
107,2018-09-25 12:00:00,17.85969999997178,2018-09-25 11:00:00
